test_id,category,name,objective,status,expected,actual,error,timestamp
TC-SEL-001,Selenium Web UI,Page Title Verification,Verify browser tab title contains GlycoGuard AI,PASS,GlycoGuard AI,GlycoGuard AI - Diabetes Prediction & Preventive Health Platform,,2026-08-19T15:36:41.096685
TC-SEL-002,Selenium Web UI,Viewport Meta Tag,Ensure responsive viewport is configured,PASS,width=device-width,"width=device-width, initial-scale=1.0, maximum-scale=1.0, user-scalable=no, viewport-fit=cover",,2026-08-19T15:36:41.125228
TC-SEL-003,Selenium Web UI,Splash Screen Structure,Verify splash screen DOM element exists,PASS,splashScreen element found,Element present,,2026-08-19T15:36:41.147270
TC-SEL-005,Selenium Web UI,Protected Main Shell Hidden,Verify Main App Shell is hidden before login,PASS,display: none,none,,2026-08-19T15:36:41.205156
TC-SEL-007,Selenium Web UI,Brand Tagline Verification,Verify tagline is Predict • Prevent • Personalize,PASS,Predict • Prevent • Personalize,PREDICT • PREVENT • PERSONALIZE,,2026-08-19T15:36:41.232367
TC-SEL-008,Selenium Web UI,Auth Navigation Tabs,"Verify Sign In, Register, Reset tabs exist",PASS,All 3 tabs visible,All 3 tabs visible,,2026-08-19T15:36:41.269430
TC-SEL-009,Selenium Web UI,Theme Attribute Check,Verify data-theme attribute on HTML root,PASS,dark or light,dark,,2026-08-19T15:36:41.281539
TC-SEL-010,Selenium Web UI,Toast Container Presence,Verify toast container exists in DOM,PASS,toastContainer present,Present,,2026-08-19T15:36:41.287954
TC-SEL-011,Selenium Web UI,Login Username Input,Verify username/email input is visible,PASS,Visible,Visible,,2026-08-19T15:36:41.305937
TC-SEL-012,Selenium Web UI,Password Input Masking,Verify password input type is password,PASS,type='password',password,,2026-08-19T15:36:41.321457
TC-SEL-013,Selenium Web UI,Empty Login Validation,Trigger error toast on empty login submission,PASS,Error toast shown,Toast displayed,,2026-08-19T15:36:41.583320
TC-SEL-014,Selenium Web UI,Empty Password Validation,Validate prompt when password omitted,PASS,Password required toast,Please enter username/email and password,,2026-08-19T15:36:41.870033
TC-SEL-018,Selenium Web UI,Switch to Register Tab,Verify Register form displays on tab click,PASS,display: block,block,,2026-08-19T15:36:42.985848
TC-SEL-019,Selenium Web UI,Switch to Forgot Tab,Verify Reset form displays on tab click,PASS,display: block,block,,2026-08-19T15:36:43.204127
TC-SEL-020,Selenium Web UI,Switch Back to Login Tab,Verify Login form restores active view,PASS,display: block,block,,2026-08-19T15:36:43.424645
TC-SEL-021,Selenium Web UI,Google Modal Open,Verify Google OAuth modal opens with active class,PASS,Modal active class present,Modal active,,2026-08-19T15:36:43.640614
TC-SEL-022,Selenium Web UI,Google Modal Close,Verify Google OAuth modal closes cleanly,PASS,Modal active class removed,Modal closed,,2026-08-19T15:36:43.856457
TC-SEL-024,Selenium Web UI,Google Custom Input Drawer,Verify Use Another Account reveals email input,PASS,Drawer active,Active,,2026-08-19T15:36:44.300400
TC-SEL-025,Selenium Web UI,Google Login Execution,Verify selecting Google account authenticates and opens app,PASS,display: block,block,,2026-08-19T15:36:44.720129
TC-SEL-026,Selenium Web UI,Dashboard Dynamic Greeting,Verify time-of-day greeting rendered,PASS,Greeting text,"Good afternoon 🌤, Dr.",,2026-08-19T15:36:45.046115
TC-SEL-027,Selenium Web UI,Dashboard Date Display,Verify current formatted date displayed,PASS,Formatted date string,"Wednesday, August 19, 2026",,2026-08-19T15:36:45.060492
TC-SEL-028,Selenium Web UI,Risk Hero Card,Verify Risk Status Hero card is visible,PASS,Hero card displayed,Displayed,,2026-08-19T15:36:45.075425
TC-SEL-029,Selenium Web UI,Risk Status Pill Badge,Verify Risk Badge is displayed,PASS,Contains RISK,LOW RISK,,2026-08-19T15:36:45.090602
TC-SEL-030,Selenium Web UI,Risk Probability Percentage,Verify probability score contains % symbol,PASS,Percentage string,28.4%,,2026-08-19T15:36:45.108078
TC-SEL-031,Selenium Web UI,KPI Glucose Tile,Verify Fasting Glucose numeric metric,PASS,Numeric value,112,,2026-08-19T15:36:45.123350
TC-SEL-032,Selenium Web UI,KPI Water Intake Tile,Verify Water Intake numeric metric,PASS,Numeric value,2.2,,2026-08-19T15:36:45.137257
TC-SEL-033,Selenium Web UI,KPI Physical Activity Tile,Verify Exercise duration metric,PASS,Numeric value,30,,2026-08-19T15:36:45.154475
TC-SEL-034,Selenium Web UI,KPI Sleep Duration Tile,Verify Sleep hours metric,PASS,Numeric value,7.5,,2026-08-19T15:36:45.168482
TC-SEL-035,Selenium Web UI,Quick Actions Navigation Grid,Verify 4 quick action shortcuts visible,PASS,Displayed,Displayed,,2026-08-19T15:36:45.180808
TC-SEL-036,Selenium Web UI,Recent Activity Feed Items,Verify clinical activity records present,PASS,Activity items > 0,2 items,,2026-08-19T15:36:45.195951
TC-SEL-037,Selenium Web UI,Desktop Header Display,Verify desktop header is visible on 1280px viewport,PASS,display: block,block,,2026-08-19T15:36:45.207452
